time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-30T08:37:59.860Z,38.838501,-122.8228302,1.59,1.04,md,18,98,0.009885,0.03,nc,nc74026271,2024-03-30T08:39:33.776Z,"9 km WNW of Cobb, CA",earthquake,0.24,0.51,0.08,21,automatic,nc,nc
2024-03-30T08:34:29.627Z,62.3736,-149.1845,0,1.4,ml,,,,0.93,ak,ak02444zc1wy,2024-03-30T08:36:43.631Z,"41 km NE of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-03-30T08:27:10.116Z,63.0671,-150.4618,7.8,1.5,ml,,,,0.27,ak,ak02444zaieb,2024-03-30T08:29:54.186Z,"65 km NNE of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-03-30T08:08:48.930Z,34.034,-117.1351667,13.88,0.88,ml,39,46,0.07852,0.18,ci,ci40702304,2024-03-30T08:15:14.892Z,"4 km S of Mentone, CA",earthquake,0.26,0.5,0.201,17,automatic,ci,ci
2024-03-30T08:06:41.850Z,38.8203316,-122.822998,2.1,0.76,md,8,86,0.009801,0.01,nc,nc74026266,2024-03-30T08:08:18.343Z,"8 km NW of The Geysers, CA",earthquake,0.44,1.01,0.2,8,automatic,nc,nc
2024-03-30T08:00:46.323Z,59.9288,-151.8643,80.8,1.8,ml,,,,0.55,ak,ak02444z4suw,2024-03-30T08:02:42.542Z,"7 km WSW of Happy Valley, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-03-30T07:55:43.497Z,31.64,-104.296,4.3816,1.6,ml,17,69,0,0.2,tx,tx2024ghfm,2024-03-30T08:20:56.547Z,"59 km NW of Toyah, Texas",earthquake,0,1.24299221244453,0.1,13,automatic,tx,tx
2024-03-30T07:48:53.290Z,38.8176651,-122.8470001,3.11,0.72,md,7,110,0.01082,0.05,nc,nc74026256,2024-03-30T07:50:28.112Z,"9 km WNW of The Geysers, CA",earthquake,0.72,2.12,0.34,8,automatic,nc,nc
2024-03-30T07:44:55.373Z,31.64,-104.286,5.0369,1.6,ml,17,69,0,0.3,tx,tx2024ghfd,2024-03-30T08:20:50.426Z,"59 km NW of Toyah, Texas",earthquake,0,2.77867547364709,0.2,12,automatic,tx,tx
2024-03-30T07:40:43.250Z,17.8603333333333,-66.0658333333333,12.65,2.26,md,7,270,0.1116,0.1,pr,pr71444268,2024-03-30T07:47:10.650Z,"11 km S of Arroyo, Puerto Rico",earthquake,0.73,0.53,0.109791825424154,4,reviewed,pr,pr
2024-03-30T07:31:46.990Z,18.0418333333333,-67.1221666666667,15.99,2.24,md,13,91,0.03721,0.18,pr,pr71444263,2024-03-30T07:45:00.310Z,"4 km W of Palmarejo, Puerto Rico",earthquake,0.65,0.62,0.0454321425337172,3,reviewed,pr,pr
2024-03-30T07:21:45.280Z,38.8436661,-122.8193359,2.04,0.23,md,8,96,0.01142,0.01,nc,nc74026241,2024-03-30T07:23:17.779Z,"9 km WNW of Cobb, CA",earthquake,0.36,1.03,0.13,8,automatic,nc,nc
