time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-04T21:28:02.440Z,38.7596664,-122.7196655,1.61,1.24,md,14.0,115.0,0.004494,0.04,nc,nc73701241,2022-03-04T21:29:36.906Z,"3km SW of Anderson Springs, CA",earthquake,0.3,0.36,0.1,5.0,automatic,nc,nc
2022-03-04T21:27:28.190Z,38.8338318,-122.8154984,1.82,1.13,md,22.0,66.0,0.01632,0.02,nc,nc73701236,2022-03-04T21:29:02.128Z,"8km NW of The Geysers, CA",earthquake,0.19,0.53,0.14,4.0,automatic,nc,nc
2022-03-04T21:25:05.130Z,35.5966682,-120.2713318,11.57,2.31,md,5.0,178.0,0.159,0.01,nc,nc73701231,2022-03-04T21:26:56.893Z,"11km SE of Shandon, CA",earthquake,3.14,3.51,0.76,3.0,automatic,nc,nc
2022-03-04T21:20:43.590Z,35.9291667,-117.6608333,3.25,0.88,ml,9.0,73.0,0.02053,0.13,ci,ci40199696,2022-03-04T21:24:10.449Z,"22km E of Little Lake, CA",earthquake,0.33,0.74,0.055,10.0,automatic,ci,ci
2022-03-04T21:19:08.215Z,62.3602,-149.6345,9.8,1.4,ml,,,,0.52,ak,ak0222wjh21x,2022-03-04T21:22:15.794Z,"24 km NNE of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-04T21:05:59.100Z,17.9613333333333,-66.8488333333333,13.23,2.37,md,7.0,207.0,,0.14,pr,pr71338988,2022-03-04T21:24:40.820Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.79,0.46,0.0181228584208633,3.0,reviewed,pr,pr
2022-03-04T20:56:56.870Z,19.183666229248,-155.483001708984,30.7099990844727,1.83000004,md,33.0,77.0,,0.129999995,hv,hv72937897,2022-03-04T21:18:58.762Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.66,0.910000026,0.910000026,8.0,automatic,hv,hv
2022-03-04T20:51:11.140Z,19.1878337860107,-155.487167358398,31.2399997711182,2.13000011,md,38.0,70.0,,0.129999995,hv,hv72937892,2022-03-04T20:56:41.360Z,"1 km SSW of Pāhala, Hawaii",earthquake,0.52,0.800000012,1.74000001,18.0,automatic,hv,hv
2022-03-04T20:47:42.018Z,63.1005,-144.4542,0.0,1.5,ml,,,,0.8,ak,ak0222wj1p2c,2022-03-04T20:52:32.826Z,"40 km WNW of Mentasta Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-03-04T20:16:28.690Z,17.9978333333333,-67.025,16.22,2.4,md,5.0,119.0,,0.07,pr,pr71338953,2022-03-04T20:27:48.710Z,"3 km NE of La Parguera, Puerto Rico",earthquake,0.69,0.87,0.031969220420617,3.0,reviewed,pr,pr
2022-03-04T20:10:30.440Z,19.175666809082,-155.465835571289,31.3400001525879,2.38,ml,47.0,111.0,,0.140000001,hv,hv72937872,2022-03-04T20:16:00.930Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.53,0.620000005,2.98,9.0,automatic,hv,hv
2022-03-04T19:51:22.560Z,33.069,-116.0461667,7.75,1.54,ml,35.0,45.0,0.119,0.25,ci,ci40199664,2022-03-04T20:02:10.970Z,"12km SE of Ocotillo Wells, CA",earthquake,0.3,1.08,0.116,28.0,automatic,ci,ci
2022-03-04T19:49:21.540Z,38.8148346,-122.7726669,4.28,0.84,md,10.0,159.0,0.006459,0.08,nc,nc73701201,2022-03-04T20:17:20.857Z,"4km W of Cobb, CA",earthquake,0.67,1.77,,1.0,automatic,nc,nc
2022-03-04T19:34:18.960Z,33.467,-116.4743333,7.6,0.74,ml,21.0,65.0,0.1019,0.2,ci,ci40199656,2022-03-04T19:37:56.285Z,"21km ESE of Anza, CA",earthquake,0.31,1.01,0.21,18.0,automatic,ci,ci
2022-03-04T19:30:29.837Z,61.7738,-150.7789,56.3,1.0,ml,,,,0.27,ak,ak0222wicldz,2022-03-04T19:33:14.999Z,"29 km NNW of Susitna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-03-04T19:22:58.890Z,35.8475,-117.6781667,8.58,0.69,ml,12.0,86.0,0.0728,0.06,ci,ci40199648,2022-03-04T19:26:29.761Z,"23km ESE of Little Lake, CA",earthquake,0.19,0.57,0.132,7.0,automatic,ci,ci
2022-03-04T18:33:14.580Z,33.8241667,-117.48,-0.51,1.03,ml,36.0,45.0,0.0299,0.18,ci,ci40199632,2022-03-04T18:42:52.827Z,"7km SSE of Home Gardens, CA",quarry blast,0.36,31.61,0.082,16.0,reviewed,ci,ci
2022-03-04T18:29:21.960Z,38.7941667,-122.7473333,2.13,1.37,md,42.0,46.0,0.01163,0.04,nc,nc73701176,2022-03-04T21:22:11.263Z,"2km NNE of The Geysers, CA",earthquake,0.16,0.3,0.108,12.0,reviewed,nc,nc
2022-03-04T18:27:40.610Z,37.5,-118.8758333,-0.51,1.28,md,16.0,142.0,0.09724,0.18,nc,nc73701171,2022-03-04T21:07:15.161Z,"18km SSE of Mammoth Lakes, CA",earthquake,0.54,31.61,0.214,14.0,reviewed,nc,nc
2022-03-04T18:17:35.370Z,36.1313333,-117.8333333,2.47,0.78,ml,16.0,131.0,0.02218,0.1,ci,ci40199616,2022-03-04T18:45:09.879Z,"14km NE of Coso Junction, CA",earthquake,0.28,0.21,0.261,7.0,reviewed,ci,ci
2022-03-04T18:12:18.130Z,37.6456667,-118.8631667,4.29,0.7,md,11.0,114.0,0.0265,0.07,nc,nc73701166,2022-03-04T19:24:14.509Z,"10km E of Mammoth Lakes, CA",earthquake,0.5,0.7,0.067,10.0,reviewed,nc,nc
2022-03-04T18:10:41.700Z,34.006,-117.0245,-0.75,0.78,ml,18.0,198.0,0.1823,0.22,ci,ci40199608,2022-03-04T18:57:39.577Z,"3km NE of Calimesa, CA",earthquake,0.66,31.61,0.172,12.0,reviewed,ci,ci
2022-03-04T18:08:13.840Z,34.0388333,-117.0381667,9.64,1.12,ml,41.0,91.0,0.08188,0.18,ci,ci40199600,2022-03-04T18:46:56.272Z,"1km NE of Yucaipa, CA",earthquake,0.21,0.48,0.197,19.0,reviewed,ci,ci
2022-03-04T18:05:42.361Z,61.4138,-151.9841,98.4,1.3,ml,,,,0.54,ak,ak0222whltvl,2022-03-04T18:10:16.986Z,"57 km WNW of Beluga, Alaska",earthquake,,1.0,,,automatic,ak,ak
2022-03-04T18:05:41.060Z,37.646,-118.8605,3.37,0.48,md,6.0,124.0,0.02502,0.04,nc,nc73701161,2022-03-04T18:38:11.224Z,"10km E of Mammoth Lakes, CA",earthquake,0.76,1.54,0.133,6.0,reviewed,nc,nc
2022-03-04T18:04:23.350Z,37.6413333,-118.8593333,5.7,1.94,md,18.0,88.0,0.02157,0.06,nc,nc73701156,2022-03-04T20:39:16.988Z,"10km E of Mammoth Lakes, CA",earthquake,0.39,0.51,0.165,21.0,reviewed,nc,nc
2022-03-04T18:03:44.130Z,38.8193321,-122.8043365,3.0,1.0,md,15.0,45.0,0.006045,0.02,nc,nc73701151,2022-03-04T18:30:14.189Z,"6km NW of The Geysers, CA",earthquake,0.31,1.0,0.21,2.0,automatic,nc,nc
2022-03-04T18:03:31.620Z,33.8491667,-117.4978333,2.29,1.72,ml,57.0,31.0,0.05418,0.14,ci,ci40199592,2022-03-04T18:38:30.220Z,"4km SSE of Home Gardens, CA",quarry blast,0.17,0.31,0.17,22.0,reviewed,ci,ci
2022-03-04T18:00:28.800Z,34.0363333,-117.0356667,12.88,2.12,ml,79.0,47.0,0.06374,0.13,ci,ci40199584,2022-03-04T18:38:40.020Z,"1km ENE of Yucaipa, CA",earthquake,0.13,0.33,0.194,24.0,reviewed,ci,ci
2022-03-04T17:56:29.550Z,46.99366666666667,-120.36183333333334,-0.93,1.71,ml,16.0,92.0,0.143,0.33,uw,uw61820151,2022-03-04T19:53:16.150Z,Washington,explosion,0.88,31.61,0.139427161652421,12.0,reviewed,uw,uw
2022-03-04T17:55:37.910Z,32.0947,50.1885,11.63,4.4,mb,,89.0,4.794,0.64,us,us6000h23l,2022-03-04T20:22:50.040Z,"39 km WSW of Fārsān, Iran",earthquake,9.9,3.0,0.061,80.0,reviewed,us,us
2022-03-04T17:54:52.558Z,60.3166,-152.0591,87.9,1.6,ml,,,,0.5,ak,ak0222whax3i,2022-03-04T17:59:05.768Z,"36 km NW of Ninilchik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-03-04T17:49:27.400Z,45.2926667,-112.0495,-2.0,1.17,ml,12.0,76.0,0.06,0.12,mb,mb80539669,2022-03-04T19:06:13.580Z,"5 km SE of Alder, Montana",quarry blast,0.41,31.61,0.144,7.0,reviewed,mb,mb
2022-03-04T17:46:25.887Z,61.1649,-140.5173,20.5,1.4,ml,,,,0.53,ak,ak0222wh95bw,2022-03-04T17:59:05.624Z,"132 km ESE of McCarthy, Alaska",earthquake,,0.6,,,automatic,ak,ak
